1,4,314381,314352,314070,,,,,,,,,,,,,,,,,
2,3,314243,314438,314494,314202,314479,,,,,,,,,,,,,,,
3,2,314070,314479,,,,,,,,,,,,,,,,,,
4,4,314167,314418,314335,314460,,,,,,,,,,,,,,,,
5,7,314460,314070,314421,314381,314445,314401,314355,,,,,,,,,,,,,
6,2,314423,314167,314438,,,,,,,,,,,,,,,,,
7,4,314309,314031,314157,314153,314455,314406,314127,314152,314148,314003,314363,314541,314482,,,,,,,
8,2,314202,314456,314418,314479,314277,,,,,,,,,,,,,,,
9,2,314512,314438,314549,314003,314479,,,,,,,,,,,,,,,
10,2,314556,,,,,,,,,,,,,,,,,,,
12,3,314106,314079,314033,,,,,,,,,,,,,,,,,
13,2,314219,314153,314249,314512,314303,314382,314432,314309,314208,314048,314264,314661,314328,314197,314550,314384,314417,314411,314502,314284
14,8,314369,314303,314184,314504,314309,314543,314489,314409,314432,314012,314330,314082,314355,314550,314494,314350,314417,314142,314256,
15,4,314352,314070,314042,314479,,,,,,,,,,,,,,,,
16,3,314050,314489,314463,314533,314447,314336,314227,314443,314298,314130,,,,,,,,,,
17,4,314336,314326,314341,314130,314065,,,,,,,,,,,,,,,
18,2,314373,314395,,,,,,,,,,,,,,,,,,
19,3,314402,314136,314314,314341,314049,314458,314065,,,,,,,,,,,,,
21,4,314425,314096,314196,314439,,,,,,,,,,,,,,,,
22,4,314443,314554,314476,314049,314463,314314,314493,314065,,,,,,,,,,,,
23,1,314270,,,,,,,,,,,,,,,,,,,
25,6,314020,314194,314083,314166,314314,314071,314336,314128,314464,314255,314413,314433,,,,,,,,
26,5,314270,314463,314493,314228,314135,,,,,,,,,,,,,,,
27,4,314326,314083,314367,314395,314130,,,,,,,,,,,,,,,
28,8,314368,314481,314317,314124,314366,314440,314406,,,,,,,,,,,,,
29,4,314056,314311,314200,314395,314116,314023,,,,,,,,,,,,,,
30,3,314509,314451,314472,,,,,,,,,,,,,,,,,
32,4,314023,314200,,,,,,,,,,,,,,,,,,
33,4,314056,314373,314200,314367,314490,314023,314128,,,,,,,,,,,,,
34,4,314466,314252,314135,314220,314455,314276,,,,,,,,,,,,,,
35,4,314264,314533,314392,314384,314046,314283,314241,314242,314513,314309,,,,,,,,,,
36,3,314075,314133,314313,314161,314389,314468,314499,314353,314141,314132,314451,314472,314549,314033,,,,,,
37,1,314130,,,,,,,,,,,,,,,,,,,
40,3,314040,314499,314509,314472,314078,,,,,,,,,,,,,,,
41,2,314529,314046,314069,314164,314269,314513,,,,,,,,,,,,,,
42,6,314379,314024,314271,314229,314416,314439,,,,,,,,,,,,,,
43,3,314228,314263,314164,314472,314423,,,,,,,,,,,,,,,
44,4,314379,314123,314473,314381,314114,314425,314078,,,,,,,,,,,,,
45,8,314056,314136,314270,314395,314233,314556,314493,314049,314420,314476,,,,,,,,,,
46,3,314136,314049,314545,314270,314556,314420,,,,,,,,,,,,,,
