2,4,219196,219499,219157,219404,219423,219312,219459,219435,219012,219237,219087,219049,219166,219042,219052,219057,219469,219226,219083,219255
3,3,219416,219464,219412,219479,219428,219457,219255,219491,219292,219120,219003,219512,219226,219283,219205,219380,219437,219216,219368,219138
5,4,219481,219263,219309,219159,219392,219426,219439,219476,219235,219023,219171,219234,219025,219174,219034,219253,219319,219170,219348,219358
6,2,219104,219304,,,,,,,,,,,,,,,,,,
7,6,219098,219457,219023,219222,219348,219268,219016,219020,,,,,,,,,,,,
8,6,219092,219314,219137,219370,219398,219411,219124,219370,,,,,,,,,,,,
10,4,219274,219302,219321,219348,219015,219171,219468,219105,219414,219089,219023,219035,219444,219249,219421,219061,219476,219412,219026,
11,1,219174,219064,219006,219511,219210,219466,219279,219014,219034,219481,219002,219219,219112,219403,219039,,,,,
13,3,219503,219038,219380,219287,219348,219016,219287,219444,219249,,,,,,,,,,,
14,4,219075,219121,219007,219300,219227,219003,,,,,,,,,,,,,,
15,2,219477,219338,219303,,,,,,,,,,,,,,,,,
16,4,219122,219359,219509,219200,219179,219307,219266,219473,219478,219365,219203,219198,219261,219004,219108,219123,219033,,,
17,5,219402,219234,219260,219009,219369,219461,219274,219409,219294,219058,219003,219362,219148,219313,219465,219443,219113,219158,219101,219210
18,6,219193,219344,219390,219418,219459,219042,219326,219205,219312,219166,219057,219083,219046,,,,,,,
19,1,219431,219481,219049,219440,219158,,,,,,,,,,,,,,,
20,2,219509,219267,219179,219200,219122,219261,219359,219001,219266,219332,219382,219456,219243,219009,219139,219422,219142,219209,219493,219153
21,4,219073,219088,219418,219006,219433,219272,219351,219017,219009,219249,219176,219119,219269,219391,219228,219154,219133,,,
22,2,219396,219403,,,,,,,,,,,,,,,,,,
23,4,219052,219231,219216,219117,,,,,,,,,,,,,,,,
24,4,219075,219480,219293,219125,219286,219461,219117,219370,219369,219361,219325,219246,,,,,,,,
25,4,219354,219337,219295,219321,219089,219223,219109,219468,219433,219417,219406,219367,219177,219167,219318,219409,219424,219101,219419,219440
26,4,219212,219205,219326,219095,,,,,,,,,,,,,,,,
27,4,219361,219408,219039,219369,219213,219481,219241,219461,219315,219431,219066,219146,219004,219165,219207,219336,219221,219277,219097,219295
28,1,219487,219227,219270,,,,,,,,,,,,,,,,,
29,6,219186,219428,219243,219227,219270,219093,219368,219145,219487,219307,219344,219203,219362,219217,219407,219390,219286,219097,219131,219075
30,6,219069,219145,219099,219459,219464,219255,219283,219071,219042,219280,219252,219083,219120,219386,219003,,,,,
31,6,219262,219104,219016,219304,219345,219163,219289,219125,219490,219170,219185,219280,219199,219362,219385,219007,219408,219110,219119,219395
32,3,219159,219264,219334,219323,219435,219209,219219,219215,219410,219466,219297,219065,219356,219208,219005,219096,219007,219043,219337,219306
33,6,219462,219191,219297,219117,219040,219059,219387,219009,219142,219493,219130,219065,219033,219124,219074,219100,,,,
35,4,219087,219418,219006,219402,219272,219269,219202,219082,219321,219176,219264,219017,219167,219170,219012,219206,219239,219396,219360,219423
36,4,219227,219093,219122,219138,,,,,,,,,,,,,,,,
37,6,219492,219403,219378,219085,219482,219427,219439,219005,,,,,,,,,,,,
38,2,219105,219301,219069,219065,219425,219371,219290,219098,219393,219129,219078,219158,219249,219126,219440,219191,219302,,,
39,6,219363,219408,219062,219395,219490,219038,219357,219007,219121,219289,219133,219111,219345,,,,,,,
40,2,219457,219495,219211,219401,219382,,,,,,,,,,,,,,,
41,2,219246,219188,219338,,,,,,,,,,,,,,,,,
42,3,219036,219260,219465,,,,,,,,,,,,,,,,,
43,3,219104,219090,219490,219276,219185,219385,219035,219475,,,,,,,,,,,,
44,4,219304,219350,219411,219035,219262,219353,219016,219045,219252,219463,219214,219033,,,,,,,,
45,6,219038,219363,219394,219062,219045,219414,,,,,,,,,,,,,,
46,4,219334,219072,219456,219090,219178,219261,219102,219203,219086,219138,,,,,,,,,,
47,3,219240,219261,219193,219509,219086,219473,219200,219142,219122,219102,219266,219359,219307,219243,219108,219134,219169,,,
48,3,219312,219157,219231,219083,219282,219098,219127,219052,219442,,,,,,,,,,,
49,4,219034,219331,219483,219141,219112,,,,,,,,,,,,,,,
50,4,219488,219312,219231,219178,219485,219479,219083,219095,219070,219212,219196,,,,,,,,,
51,4,219231,219479,219212,219399,219015,219069,219416,219262,219141,219458,219101,219221,219195,219358,219442,219242,219391,219170,219177,219238
52,4,219027,219178,219203,219489,219145,219020,219018,219368,219139,219286,219240,219382,219122,,,,,,,
53,6,219012,219089,219205,219434,219312,219255,219157,219042,219073,219459,219404,219070,219237,219326,219437,219078,,,,
54,6,219510,219311,219178,219250,219116,219484,219309,219268,219027,,,,,,,,,,,
55,6,219278,219037,219058,219279,219256,219438,219273,219202,219410,219030,219115,219421,219005,219043,219366,219180,219102,219107,219365,219025
56,6,219237,219507,219360,219084,219272,219376,219076,219242,219483,219377,219485,219208,219331,219002,219467,219228,219101,219436,219008,219471
58,1,219356,219107,219323,219156,219111,219333,219297,219230,219395,219066,219250,219384,219051,219449,219208,219367,219001,219043,219195,219460
59,4,219334,219407,219019,219090,,,,,,,,,,,,,,,,
60,2,219500,219282,219457,219069,219429,219058,219130,219479,219442,,,,,,,,,,,
62,1,219428,219441,,,,,,,,,,,,,,,,,,
63,5,219176,219188,219500,219429,219479,219380,219054,219442,219290,219274,219309,219120,,,,,,,,
64,2,219405,219174,219076,219134,,,,,,,,,,,,,,,,
65,6,219419,219219,219417,219306,219264,219483,219378,219229,219349,219085,219299,219015,219331,219076,219319,219034,219162,219271,219507,219351
66,5,219232,219037,219360,219154,219176,219092,219419,219191,219341,219181,219162,219059,219330,219367,,,,,,
67,4,219090,219356,219009,219217,219408,219041,219232,219313,219220,219351,219261,219447,219512,219001,219329,219275,219276,219330,219473,219147
68,6,219508,219415,219477,219385,219465,219106,,,,,,,,,,,,,,
69,3,219473,219430,219059,219146,219230,,,,,,,,,,,,,,,
70,3,219019,219107,219170,219237,219366,219360,219191,219242,219324,,,,,,,,,,,
71,4,219388,219225,219167,219341,219434,219486,,,,,,,,,,,,,,
72,4,219064,219410,219264,219311,219510,219234,219218,219217,219265,219012,219364,219210,219346,219478,219470,219257,219092,219360,219302,219084
73,6,219398,219297,219230,219088,219241,219215,219356,219079,219234,219311,219082,219121,219385,219268,219322,219333,219482,219414,219345,219425
74,3,219240,219462,219509,,,,,,,,,,,,,,,,,
75,4,219216,219428,219487,219093,,,,,,,,,,,,,,,,
76,4,219346,219019,219069,219049,219407,219489,,,,,,,,,,,,,,
77,4,219381,219511,219435,219278,219012,219089,219294,219358,219225,219103,219453,219250,219116,219208,219483,219434,,,,
78,4,219500,219104,219380,219295,219422,219319,219482,219120,219416,219098,219357,219457,219130,219315,219191,219439,219330,219287,219393,219246
79,5,219232,219484,219264,219155,219460,219235,219422,219351,219397,219309,219306,219053,219333,219447,219082,219321,219367,219349,219329,219257
80,3,219116,219388,219165,219164,219034,219039,219394,219119,219103,219486,219366,219030,,,,,,,,
81,3,219401,219300,219186,219495,219211,219227,219441,219243,219428,,,,,,,,,,,
82,3,219415,219106,,,,,,,,,,,,,,,,,,
83,5,219294,219115,219486,219420,219109,219474,219019,219275,219305,219103,219043,219315,219366,219276,219273,219164,219291,,,
84,5,219379,219075,219462,219368,219240,219254,219286,219325,219204,219155,219258,219270,219147,219134,219509,219100,,,,
85,4,219398,219124,219204,219411,,,,,,,,,,,,,,,,
86,4,219210,219002,219017,219174,219065,219472,219212,219486,219384,219053,219336,219319,219126,219298,219287,219141,219383,219333,219378,
87,4,219379,219180,219311,219049,219271,219076,219470,219366,219060,219115,219223,219084,219050,219109,219507,,,,,
88,2,219112,219005,219257,219019,219271,219299,219006,219051,219324,219365,219177,219161,219238,,,,,,,
89,3,219420,219204,219218,219356,219111,219087,219082,219434,,,,,,,,,,,,
90,4,219079,219038,219304,219035,219475,219463,219173,,,,,,,,,,,,,
91,1,219411,219297,219064,219315,219215,219420,219084,219388,219367,219507,219349,,,,,,,,,
